,1q21.3  ,1q44    ,3p25.1  ,3q26.32 ,4q13.3  ,5p15.33 ,6p23    ,6q21    ,8p11.23 ,8p11.21 ,8q24.21 ,10p15.1 ,10q22.3 ,11p13   ,11q13.3 ,11q14.1 ,12p13.33,12q15   ,13q34   ,14q21.1 ,15q26.3 ,17p11.2 ,17q12   ,17q23.1 ,19p13.12,19q12   ,19q13.42,20q13.2 ,1p36.13 ,1p21.2  ,2q37.3  ,3p21.31 ,4p16.3  ,4q35.2  ,5q11.2  ,5q21.3  ,6p25.3  ,6q15    ,6q27    ,7p22.3  ,7q36.1  ,8p23.2  ,9p23    ,9p21.3  ,9q21.11 ,9q34.2  ,10q23.31,10q26.3 ,11p15.5 ,11q13.1 ,11q23.3 ,11q25   ,12p13.1 ,12q23.1 ,12q24.31,13q14.2 ,14q24.1 ,14q32.12,15q13.1 ,16q24.3 ,17p12   ,17q21.31,18q23   ,19p13.3 ,19q13.32,20p13   ,21q11.2 ,22q11.1 ,22q13.32
TCGA.OL.A66I,1.1591,0.254,-0.0455,0.0043,0.2024,0.0927,0.3551,-0.0296,0.2372,0.72,3.6569,0.3842,-0.2541,0.1848,-0.0586,-0.0586,-0.0025,-0.0671,-0.2659,-0.2643,-0.3446,-0.2519,-0.2276,-0.2276,-0.0729,1.0902,-0.0479,0.4755,0.3582,-0.0028,-0.1093,-0.052,-0.2782,0.4252,-0.2754,-0.2754,0.3551,-0.0296,0.1783,0.1102,-0.5808,0.1276,-0.0509,0.3906,0.2105,0.2386,-0.2621,-0.2772,-0.4073,-0.0586,-0.0815,-0.0815,-0.0386,-0.0199,-0.0354,-0.2665,-0.2462,-0.2643,-0.3446,-0.0201,-0.2519,-0.2276,0.5953,-0.0729,0.4131,0.307,-0.0218,-0.0207,-0.0441
TCGA.OL.A66J,0.0021,-0.0184,-0.0093,-0.0093,-0.0024,-0.301,0.0,0.0,3.6569,0.5881,0.0054,0.0012,0.0056,0.0079,2.0033,-0.5872,0.0257,-0.0011,0.0015,0.0145,0.0088,0.0064,0.0064,0.0064,-0.0015,-0.0015,-0.0015,0.0163,-0.6051,0.0021,-0.001,-0.0093,-0.0024,-0.0024,-0.301,-0.301,0.0,0.0,-0.0034,0.0014,0.0138,-0.6076,0.0061,0.0061,0.0061,0.0061,0.0056,0.0056,0.0079,-0.6069,-0.5936,-0.5936,-0.0011,-0.0011,-0.0011,0.0015,0.0145,0.0145,0.0088,-0.5944,0.0064,0.0064,0.0089,-0.0015,-0.0015,0.0163,-0.0022,0.0269,0.0269
TCGA.OL.A66K,1.1273,1.1011,-0.2965,-0.2965,-0.2892,0.0188,0.0068,0.0225,0.0215,0.0215,0.0215,0.0,0.0,-0.2994,-0.2994,-0.2994,-0.3119,-0.2873,-0.3117,-0.6239,-0.3152,0.2367,0.2367,0.2367,-0.0363,-0.0363,-0.0363,0.0004,-0.3082,-0.293,0.0021,-0.2965,-0.2892,-0.324,0.0188,0.0188,0.0068,0.0225,0.0248,0.3201,0.319,0.0215,0.0132,0.0132,0.0132,0.0132,0.0,0.0,-0.2979,-0.2994,-0.2994,-0.2994,-0.2978,-0.2873,-0.3232,-0.9483,-0.6239,-0.6239,-0.3152,-0.6364,0.2367,0.2367,0.0296,-0.0363,-0.0363,0.0004,0.0152,-0.324,-0.324
TCGA.OL.A66L,0.569,0.6052,0.0042,-0.0011,0.0054,0.0019,0.0049,-0.6022,0.0021,0.0021,0.0026,0.0029,0.0029,-0.0024,-0.0024,0.0009,-0.0011,-0.0011,0.0069,0.0031,0.0007,-0.0037,-0.0037,-0.0037,-0.0066,-0.0066,-0.0066,-0.0044,-0.0025,-0.0025,-0.0024,0.0042,0.0056,0.0078,0.0019,0.0019,0.0049,-0.5938,-0.6234,0.0094,0.0008,0.0021,-0.0017,-0.0017,-0.0017,-0.0017,0.0029,0.0189,-0.0024,-0.0024,0.0024,-0.0037,-0.0011,0.0017,-0.0057,0.0022,0.0029,-0.0007,0.0007,-0.6349,-0.0017,-0.0037,0.006,-0.0119,-0.0066,-0.0044,0.005,-0.6175,-0.6175
TCGA.OL.A66N,0.9582,0.9602,-0.2525,-0.2525,0.0022,0.2538,-0.0014,-0.0014,0.4845,0.4845,0.4978,0.0108,0.0057,-0.0043,-0.0043,-0.0043,0.0218,0.0,-0.5193,-0.2539,0.0123,0.003,0.003,0.003,-0.0086,-0.0086,-0.0086,0.2566,-0.2483,-0.2483,-0.0014,-0.2525,0.0022,0.0004,0.2513,0.2443,-0.0014,-0.0014,-0.0014,0.4897,0.4897,0.518,-0.253,-0.253,-0.253,-0.253,0.0057,0.0057,-0.0043,-0.0043,-0.5202,0.0072,0.0,0.0,0.0,-0.5178,-0.2539,-0.2539,0.0123,-0.5266,0.003,0.003,-0.2434,-0.0086,-0.0086,0.2566,-0.2483,0.013,0.013
TCGA.OL.A66O,0.4016,0.4016,0.0184,0.0142,0.0268,0.0237,0.0072,-0.8876,0.0143,0.0143,0.0143,-0.0043,-0.0043,0.0089,3.6569,-0.9331,0.0025,1.1015,-0.3899,0.0071,-0.4077,-0.1062,-0.1062,-0.1062,-0.0915,-0.0915,-0.0826,-0.1543,-0.057,0.0202,-0.0293,0.0176,0.0268,0.0369,0.0237,0.0237,0.0072,-0.8876,-0.899,-0.0032,0.011,0.0143,0.0073,-0.0127,-0.0127,-0.0127,-0.0043,-0.0238,0.0089,-0.945,-0.9176,-0.9176,0.0025,0.3951,0.3951,-0.3899,0.0071,0.0071,-0.0145,-0.0314,-0.1062,-0.1062,0.0076,-0.0915,-0.0826,-0.1543,-0.0076,-0.0623,-0.0623
TCGA.OL.A66P,-0.0032,-0.003,-0.0072,0.4915,-0.0048,-0.0279,-0.0135,-0.0113,-0.052,-0.052,0.2626,-0.0015,-0.0729,0.0047,-0.0036,-0.1473,0.0153,0.0153,-0.0089,-0.0007,0.0019,-0.0732,-0.0732,0.5119,0.0565,0.0565,0.0565,0.5052,0.0085,-0.0032,-0.0145,0.0453,0.0051,-0.0028,-0.0279,-0.0279,-0.0135,-0.0113,-0.1003,-0.0095,-0.263,-0.2623,-0.2564,-0.5034,-0.1848,-0.1848,-0.1096,0.0683,0.0047,-0.0036,-0.1834,-0.1834,0.0153,0.0063,0.0562,-0.006,0.015,0.015,0.0071,-0.336,-0.0732,-0.0732,0.0057,0.0565,0.0565,-0.0131,-0.008,-0.0006,-0.0006
TCGA.OL.A6VO,1.1861,0.8797,-0.1534,0.4001,0.1947,0.0049,2.8878,-0.118,-0.0579,0.8795,1.187,1.424,-0.19,0.124,-0.0091,-0.0091,0.0,-0.2816,0.0081,-0.1468,0.1342,0.2519,0.2519,0.2519,-0.2213,-0.2213,-0.2272,-0.3232,0.3308,0.3773,-0.2143,-0.1534,-0.1827,-0.6455,-0.3847,-0.3976,0.1211,2.0558,-0.1807,0.2596,0.3873,0.1507,1.3945,1.3945,0.0,0.0159,-0.19,-0.19,-0.2605,-0.0091,-0.3208,-0.3208,0.0522,-0.2816,-0.3212,0.0081,-0.13,0.0014,-0.1755,-0.759,0.2519,0.2519,-0.1884,-0.2213,-0.2213,-0.3532,-0.0637,-0.2081,-0.2081
TCGA.OL.A6VQ,0.8592,0.8749,0.0026,0.0026,-0.0003,0.0309,0.0007,-0.3494,0.0012,0.0012,0.0012,0.0101,0.0101,0.0047,0.0047,0.0047,-0.0082,-0.0092,0.0022,0.0035,0.0124,0.0049,0.0049,0.0049,-0.0101,-0.0101,-0.0101,0.015,-0.0007,-0.0007,-0.0037,0.0026,0.0153,-0.0003,-0.0018,-0.0018,0.0007,-0.3494,-0.3494,0.0,0.0,0.0012,0.0092,0.0092,0.0092,0.0092,0.0101,0.0323,0.0047,0.0047,0.0047,0.0047,-0.0082,-0.0092,-0.0092,0.0022,0.0035,0.0035,0.0124,-0.555,0.0049,0.0049,-0.5131,-0.0101,-0.0101,0.015,-0.1735,-0.5237,-0.534
TCGA.OL.A6VR,0.0,0.0,0.0019,-0.0008,-0.0046,-0.0291,-0.7424,-0.7409,1.5475,1.566,1.7714,0.0071,0.0071,-0.0026,-0.0026,-0.0026,0.0071,0.0003,0.0484,1.6693,0.0086,0.0234,0.0234,0.0234,0.0269,0.0269,0.0269,-0.001,0.0202,0.0,0.0017,0.0019,0.0389,-0.0046,-0.0291,-0.0291,-0.7424,-0.7409,-0.7409,0.0003,0.0003,-0.7777,-0.0006,-0.0006,-0.0006,0.046,0.0071,0.0071,-0.0026,-0.0026,-0.0021,-0.0021,0.0071,0.0003,0.0408,0.0001,-0.156,-0.156,0.0086,-0.7569,0.0234,0.0234,0.001,0.0269,0.0269,-0.001,-0.0129,0.0161,0.0252
