,1q21.3  ,1q44    ,3p25.1  ,3q26.32 ,4q13.3  ,5p15.33 ,6p23    ,6q21    ,8p11.23 ,8p11.21 ,8q24.21 ,10p15.1 ,10q22.3 ,11p13   ,11q13.3 ,11q14.1 ,12p13.33,12q15   ,13q34   ,14q21.1 ,15q26.3 ,17p11.2 ,17q12   ,17q23.1 ,19p13.12,19q12   ,19q13.42,20q13.2 ,1p36.13 ,1p21.2  ,2q37.3  ,3p21.31 ,4p16.3  ,4q35.2  ,5q11.2  ,5q21.3  ,6p25.3  ,6q15    ,6q27    ,7p22.3  ,7q36.1  ,8p23.2  ,9p23    ,9p21.3  ,9q21.11 ,9q34.2  ,10q23.31,10q26.3 ,11p15.5 ,11q13.1 ,11q23.3 ,11q25   ,12p13.1 ,12q23.1 ,12q24.31,13q14.2 ,14q24.1 ,14q32.12,15q13.1 ,16q24.3 ,17p12   ,17q21.31,18q23   ,19p13.3 ,19q13.32,20p13   ,21q11.2 ,22q11.1 ,22q13.32
TCGA.3C.AAAU,3.6569,0.1874,-0.4576,0.2586,3.6569,0.1659,0.147,-1.0883,0.1976,0.1976,0.2218,-0.4827,-0.4676,0.1843,2.0965,2.6037,0.1862,3.6569,-0.4534,-0.4279,0.1184,-0.5673,0.0783,0.0783,0.0,0.0,0.0,1.8238,0.069,0.2159,-0.3991,-0.4659,-0.4717,-0.38,0.2476,0.2875,0.147,-1.0883,-1.119,0.2267,0.2087,0.1829,-0.4577,-0.488,-0.488,-0.488,-0.4676,-0.4676,0.1054,-0.5999,-0.4652,-0.4652,0.1862,-0.4698,-0.4698,-1.0803,-0.4909,-0.4909,0.1495,0.1227,-0.5673,0.0783,0.2153,0.0,0.0,0.7256,0.9069,-0.5961,-0.5961
TCGA.3C.AALI,0.3873,0.3858,0.4438,0.4765,-0.4365,0.0226,-0.0087,-0.4901,0.4473,0.4473,0.465,-0.4742,-0.4608,0.0072,0.0072,0.0072,-0.0066,-0.0003,-0.4263,0.5003,-0.0162,-0.5305,3.6569,2.3088,-0.1543,0.0964,0.0964,0.7833,-0.5178,-0.4478,0.0,-0.4765,-0.4365,0.0562,0.482,-0.4407,-0.4952,-0.4352,-0.4529,0.4494,0.4541,0.4473,-0.4437,-0.4617,0.0051,0.3845,-0.4608,-0.4621,-0.024,0.0072,-0.0265,-0.9626,-0.0066,-0.0003,-0.0003,-0.4122,-0.0145,-0.0145,-0.4622,0.0316,-0.5252,-0.5345,-0.9387,-0.1543,0.0964,0.8302,-0.4325,-0.0728,-0.4906
TCGA.3C.AALJ,0.0833,0.4121,0.0,-0.1448,-0.3167,0.0127,1.1985,0.0375,3.6569,-0.7089,1.152,0.0343,0.0588,0.0146,-0.3206,-0.3206,0.0229,0.3786,-0.3161,1.624,-0.3274,-0.6558,1.0898,1.4188,-0.321,0.0053,0.0053,3.6569,-0.3236,0.0833,-0.3907,0.0,-0.3265,-0.3309,0.025,0.025,-0.1379,-1.0618,0.0314,0.2113,-0.0028,-0.7602,0.0337,0.0278,0.3852,0.4294,0.0097,0.8212,0.0146,-0.3206,-0.3206,0.0478,0.0248,0.3733,0.3707,0.0238,-0.6981,-0.3366,-0.3274,0.0085,-0.6944,-0.6702,0.1714,-0.3152,0.0053,0.0199,-0.3309,-0.6947,-0.6923
TCGA.3C.AALK,0.5887,0.6172,-0.0162,-0.0577,-0.0326,0.0231,0.0134,0.0134,0.0264,0.0264,0.0264,0.0142,0.0142,0.0179,0.0233,0.0233,-0.0022,0.0,-0.0196,-0.0153,0.0253,-0.644,2.9314,1.6935,-0.0312,0.0083,-0.0144,0.0316,-0.0233,-0.0233,-0.0069,-0.0577,-0.0247,-0.0286,0.0191,0.0188,0.0134,0.0134,0.0134,0.0114,0.0142,0.0264,-0.0222,-0.0222,-0.0222,-0.0222,0.0142,0.0142,0.0179,0.0233,-0.1722,-0.1722,-0.0022,0.0,0.0,-0.0196,-0.0153,-0.0153,0.0253,-0.6359,-0.644,-0.6406,-0.0121,-0.0168,-0.0314,0.0316,-0.0527,0.0195,0.0195
TCGA.4H.AAAK,0.0,0.0,0.0046,-0.0028,-0.0039,0.0338,-0.0193,-0.0102,0.0171,0.0171,0.9728,0.0085,0.0207,0.0018,0.0018,0.0121,-0.3438,-0.0149,0.0233,0.0357,0.105,0.289,0.289,0.289,1.127,0.2952,0.2952,0.0288,0.0,0.0,0.0429,0.0089,0.016,-0.0057,-0.6381,0.0212,-0.0193,-0.015,-0.0102,-0.0036,-0.0036,-0.6626,0.3251,0.3251,0.3251,0.3259,0.0207,0.0372,0.0138,0.0018,-0.652,-0.652,-0.3438,-0.0149,-0.0149,0.0048,0.0357,0.0357,0.0072,-0.6684,-0.6687,0.289,0.0134,-0.7006,0.2952,0.0303,-0.0135,-0.0278,0.0128
TCGA.5L.AAT0,0.5546,0.5459,0.0088,-0.0018,-0.0155,-0.0079,-0.0047,-0.0047,-0.0018,-0.0018,-0.0018,0.0049,0.0049,0.0,0.0,0.0,-0.5567,0.0011,-0.0068,0.0037,0.0166,-0.5483,0.0195,0.0195,0.0309,0.0309,0.0409,0.022,0.0061,0.0061,0.0014,-0.5376,0.0122,-0.0155,-0.0079,-0.0079,-0.0047,-0.0047,-0.0047,0.0012,-0.003,-0.0018,0.0037,0.0037,0.0037,0.0177,0.0049,0.0145,0.0,0.0,0.0079,0.0079,-0.5567,0.0011,0.0011,-0.0068,0.0037,0.0143,0.0166,-0.551,-0.5483,0.0195,0.0031,0.0309,-0.4952,0.022,-0.0093,0.0295,0.0245
TCGA.5L.AAT1,0.3989,0.3989,0.0001,0.0001,-0.0011,0.0046,-0.0003,-0.0003,0.0,0.0,0.0,0.0026,0.0026,-0.0017,-0.0017,-0.0017,-0.0026,-0.0026,-0.0019,0.0015,0.005,0.0051,0.0051,0.0051,0.0,0.0,-0.0036,0.0049,-0.0004,-0.0015,-0.0009,0.0001,-0.0011,-0.0011,-0.6196,-0.0012,-0.0003,-0.0003,0.0009,-0.3763,-0.0029,0.0,0.001,0.001,0.001,0.001,0.0026,0.0026,-0.0017,-0.0017,0.0035,0.0035,-0.0026,-0.0028,-0.0028,-0.0043,-0.0057,0.0015,0.005,-0.413,0.0051,0.0051,0.0034,0.0,0.0,0.0049,-0.4137,0.0115,0.0115
TCGA.5T.A9QA,1.2389,1.4936,0.0,0.022,0.0307,0.0186,0.5257,-0.5618,3.6569,2.454,0.5635,0.5158,0.5324,0.4818,3.6569,3.6158,-0.0037,-0.0037,0.0042,-0.0179,-0.0533,0.2781,0.2781,0.3337,-0.1221,-0.1221,-0.1221,0.4556,-0.6465,-0.5633,0.4894,0.0,0.0307,0.0433,0.0186,0.0186,0.5257,-0.5618,-0.5731,-0.4587,-0.4731,-0.6024,-0.0144,-0.0144,-0.0144,-0.0551,0.5324,-0.6409,0.4652,-0.6303,-0.5807,-0.5807,-0.0037,-0.0037,-0.0037,0.0042,-0.0179,-0.0179,-0.0401,-0.0492,0.2966,0.2781,-0.0277,-0.1221,-0.1221,-0.6713,0.0316,0.8758,0.9061
TCGA.A1.A0SB,0.0021,0.0021,0.0,0.0,-0.0007,-0.0086,-0.0004,-0.0004,0.0021,0.0021,0.0021,-0.0014,-0.0014,0.0008,0.0008,0.0008,-0.0015,-0.0015,-0.0055,-0.0001,0.0018,-0.0018,-0.0018,-0.0001,0.0054,0.0054,0.0054,-0.0021,0.0021,0.0021,-0.001,0.0,-0.0007,-0.0007,0.0008,0.0008,-0.0004,-0.0004,-0.0116,0.0056,0.0031,0.0021,-0.0077,-0.0077,0.0018,-0.0002,-0.0014,-0.0048,0.0008,0.0008,-0.0012,-0.0012,-0.0015,0.0001,0.0001,0.0001,-0.0001,-0.0001,-0.0051,0.0019,-0.0018,0.0015,-0.0006,0.0054,0.0054,-0.0021,0.0006,0.0163,0.0163
TCGA.A1.A0SF,0.6863,1.0212,-0.3705,-0.0041,0.0203,-0.0075,-0.005,-0.005,0.3209,-0.7329,0.352,0.3473,0.3473,-0.0075,-0.0075,-0.0075,0.3955,0.3941,0.0229,0.0574,0.3764,-0.3852,-0.0175,-0.0175,0.3049,0.3049,0.3049,0.3341,-0.0155,-0.3619,-0.0028,-0.3705,0.0203,0.0203,-0.0075,-0.0075,-0.005,-0.005,-0.0124,0.3514,0.3514,-0.0032,-0.0021,-0.362,-0.0047,-0.0086,0.3473,0.3473,-0.0075,-0.0075,-0.0075,-0.0075,0.3955,-0.3755,-0.3755,0.0229,0.0574,0.0574,-0.3758,-0.3706,-0.3852,-0.0175,0.0,0.3049,0.3049,0.3494,0.0014,-0.0186,-0.0186
TCGA.A1.A0SG,0.0075,0.0075,-0.0073,-0.0073,-0.0122,0.0003,-0.0055,-0.003,1.2366,1.2366,1.2277,0.0,0.0,-0.0093,-0.0093,-0.0093,0.0117,0.0117,-0.0025,0.0004,0.0043,0.0231,0.0231,0.0231,0.0015,0.0015,0.0047,0.1834,0.0075,0.0075,-0.0022,-0.0073,-0.0122,-0.0122,-0.5997,0.0107,-0.5821,-0.6012,-0.0126,0.0039,0.0039,-0.6136,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,-0.0093,-0.0093,-0.0093,-0.0093,0.0117,0.0117,0.0117,-0.0025,0.0004,0.0032,0.0043,-0.6068,0.0231,0.0231,-0.0076,0.0015,0.0015,0.1834,0.0117,-0.2318,-0.2318
TCGA.A1.A0SI,0.8245,0.8245,-0.0017,0.6177,-0.3246,0.0042,-0.0002,0.0031,-0.4286,0.0007,0.0007,0.0022,0.0022,0.1271,0.1271,0.1271,-0.4699,-0.0022,-0.3255,0.0026,-0.3276,-0.4718,-0.4718,-0.0195,-0.029,-0.029,-0.0277,0.4222,-0.0004,-0.0004,0.0,-0.0017,-0.3246,-0.3246,0.0042,0.0042,-0.0056,-0.0002,0.0031,0.1318,0.1318,-0.1436,0.0039,0.0039,0.0039,0.0039,0.0022,0.0022,0.1271,0.1271,0.1271,0.1271,-0.4699,-0.0022,-0.0022,-0.3352,0.0026,0.0026,-0.3276,-0.3291,-0.4718,-0.4718,-0.3586,-0.029,-0.0277,0.4222,0.434,-0.0035,-0.0072
TCGA.A1.A0SN,0.6722,0.6659,0.0056,0.0056,-0.3738,0.6887,0.0018,-0.3708,-0.2396,-0.2396,0.6429,-0.3686,-0.2845,0.0253,1.0587,0.3312,0.3278,0.3278,-0.3721,0.4163,0.1699,0.1622,3.6569,3.6569,-0.0524,-0.0524,-0.0524,3.6569,-0.3779,-0.3729,-0.3276,0.0056,-0.3738,-0.3662,0.6833,0.6833,-0.0057,-0.3708,-0.3788,0.2579,-0.4109,-0.2396,-0.0115,0.0267,0.0267,0.0406,-0.2845,-0.2845,0.0253,0.0253,-0.3721,-0.3721,0.3278,0.3278,0.3278,-0.3764,-0.0109,-0.0042,0.1146,-0.2379,-0.4078,-0.3887,0.0,-0.0524,-0.0524,0.2826,-0.3826,-0.392,-0.3864
TCGA.A1.A0SQ,0.6535,0.6535,0.0,0.0078,0.0188,0.0128,0.0029,0.0029,0.0092,0.0092,0.0092,-0.0133,-0.0068,-0.0108,3.6569,3.6569,-0.0066,-0.0066,-0.7066,-0.0075,-0.0263,-0.7348,-0.0593,-0.0593,-0.1243,-0.0314,1.2761,3.3004,-0.0266,-0.0266,0.0031,0.0,0.0188,0.0188,0.0128,0.0128,0.0029,0.0029,0.0103,0.0099,0.0099,0.0092,-0.0089,-0.0089,-0.0089,-0.0089,-0.0068,-0.0068,-0.0752,-0.0108,-0.7075,-0.7075,-0.0066,-0.0066,-0.0066,-0.7066,-0.0075,-0.0075,-0.0263,-0.0307,-0.7348,-0.0593,0.0043,-0.1243,-0.7445,-0.0123,0.03,-0.0672,-0.0672
TCGA.A2.A0CK,0.6835,0.6991,-0.0033,-0.0033,-0.0051,0.0114,-0.0054,-0.0054,0.0047,0.0047,0.0047,0.005,0.005,0.0845,3.6569,-0.69,-0.0012,-0.0012,0.0,0.0,0.0093,-0.6897,0.0805,0.0805,0.0049,0.0049,0.0049,0.0157,0.0024,0.0024,0.0004,-0.0033,-0.0051,-0.0051,-0.0071,-0.0071,-0.0054,-0.0054,-0.3461,-0.0039,-0.0066,0.0047,0.0046,0.0046,0.0046,0.0096,0.005,0.005,0.0845,0.0657,-0.6963,-0.6963,-0.0012,-0.0012,-0.0012,0.0,0.0,0.0,0.0093,-0.7249,-0.6956,0.0805,0.0188,0.0049,0.0049,0.0157,0.0054,0.0159,0.0159
TCGA.A2.A0CO,0.5325,0.579,0.0011,-0.0085,0.0242,0.0954,-0.0849,-0.0849,-0.5959,0.0987,0.0987,-0.0868,-0.0868,-0.2713,-0.2713,-0.2713,-0.0155,-0.0124,-0.4506,0.0316,0.0,-0.5008,0.0662,0.0662,0.0582,0.0582,0.0582,0.0958,0.0862,-0.4882,-0.0624,0.0011,0.0242,0.051,0.0954,0.0954,-0.0849,-0.0849,-0.0849,0.0422,0.0215,-0.5959,0.089,0.089,0.089,0.089,-0.0868,-0.0868,-0.2713,-0.2713,-0.2713,-0.2713,-0.0155,-0.0124,-0.491,-0.4572,0.0316,0.0316,0.0,-0.496,-0.5008,0.0662,-0.0563,0.0582,0.0582,0.0967,0.0946,0.0737,0.0901
TCGA.A2.A0CR,0.0047,0.0047,0.0018,0.0026,-0.0055,-0.0054,0.0015,-0.1826,0.0,0.0,0.0,-0.0004,-0.0004,0.0031,0.0031,0.0031,-0.0071,-0.0071,-0.0841,0.0003,0.0074,-0.2108,-0.2108,-0.2108,0.0133,0.0133,0.0133,0.0083,0.0047,0.0047,0.0003,0.0018,0.0035,-0.0055,-0.0018,-0.0038,0.0015,-0.1826,-0.1826,-0.0007,-0.0025,0.0,0.006,0.006,0.006,0.006,-0.0004,-0.0004,0.0031,0.0031,-0.102,-0.0015,-0.0071,-0.0071,-0.0071,-0.0564,0.0003,0.0003,0.0074,-0.1514,-0.2108,-0.2108,0.0088,0.0359,0.0133,0.0083,0.0033,-0.2189,-0.2189
TCGA.A2.A0EP,0.0398,0.0398,-0.0277,-0.0298,-0.0292,0.0179,-0.0288,-0.0288,-0.0311,-0.0311,-0.0311,0.0198,0.0198,-0.0251,-0.0251,-0.0251,0.0233,0.0251,0.0173,0.0268,-0.0288,-0.0791,-0.0791,-0.0791,0.0194,0.0194,0.0194,0.0182,0.0398,0.0398,0.0067,-0.0277,-0.0296,-0.0292,0.021,0.021,-0.0288,-0.0288,-0.0288,-0.0033,-0.0033,-0.0311,0.0217,0.0217,0.0217,0.0217,0.0198,0.0198,-0.0251,-0.0251,-0.0251,-0.0251,0.0233,0.0251,0.0251,0.0173,0.0216,0.0216,-0.0288,-0.0754,-0.0791,-0.0791,-0.1095,0.0194,0.0194,0.0182,0.0217,-0.032,-0.032
TCGA.A2.A1FV,0.8032,-0.0044,-0.0277,-0.0352,0.0416,0.0,0.0152,-0.8742,3.6569,1.4293,1.5993,-0.0037,-0.0079,0.0106,-0.0066,-0.0066,-0.0137,-0.0137,-0.8978,0.0108,-0.0379,0.7998,0.033,0.033,-0.0084,-0.0084,-0.0084,-0.0028,-0.0033,0.8032,0.8327,-0.0277,0.0416,-0.8407,0.0,0.0011,0.0152,-0.8754,0.0054,1.2768,1.2777,0.0053,0.7364,0.7364,0.7364,0.7364,-0.0079,0.0243,0.034,-0.0066,-0.8669,-0.8909,-0.0137,-0.0137,-0.0137,-0.831,-0.8622,-0.8666,-0.0379,-0.893,-0.8667,0.033,0.7965,-0.0032,-0.0084,-0.0028,-0.836,0.8048,0.8188
TCGA.A2.A1FW,1.7386,-0.1939,0.1693,0.1666,0.2318,0.1792,0.1979,-0.2726,-1.2401,-0.2467,1.9272,-0.2786,1.1442,1.0134,1.3251,-0.2245,0.4074,0.6282,-0.2543,0.2125,0.1886,-0.3045,-0.7827,3.6569,-0.3117,-0.3117,-0.3117,1.2114,-0.2918,-0.2443,-0.2396,0.0895,-0.2398,0.2567,0.6212,0.1726,0.1979,-0.2726,-0.2722,0.6651,-0.7478,-1.2929,-0.285,-0.2698,-0.2761,0.1324,0.1962,-0.2937,1.0134,1.3251,-0.3126,-0.3126,0.4074,0.6282,0.5955,-0.2543,0.1173,0.1173,0.1951,0.1586,-0.316,-0.7827,-0.2767,-0.3117,-0.3117,3.6569,-0.3352,-0.3081,-0.2986
TCGA.A2.A1FX,0.7545,-0.3806,0.0066,-0.0056,0.0198,0.2093,1.1346,-0.6991,1.1154,1.1154,1.1154,-0.2469,-0.2469,0.494,3.408,2.2196,-0.0012,0.0072,-0.0368,0.0241,0.0,0.1449,0.1449,0.1449,-0.0851,-0.0851,-0.0851,0.4438,-0.375,-0.3645,-0.298,0.0066,0.0198,0.0198,0.2093,0.2093,1.1346,-0.6991,-0.7429,-0.0344,-0.0055,-0.7136,-0.6996,-0.6988,-0.6988,-0.7676,-0.2469,-0.2469,0.4679,-1.2381,-0.7025,-0.7219,-0.0012,0.0072,0.0072,-0.0368,0.0172,0.0172,0.0,-0.7796,0.1449,0.1449,-0.5956,-0.0851,-0.0851,0.4438,0.021,-0.0353,-0.0134
TCGA.A2.A1FZ,0.8376,0.8393,0.8509,0.8392,-0.0094,-0.0073,-0.008,-0.008,0.0036,0.0036,-0.0116,0.0001,0.0046,0.0008,0.0026,0.0026,-0.0033,-0.0033,-0.0047,0.0,0.0061,0.0213,0.0039,0.0039,0.0163,0.0163,0.0163,0.0108,0.0039,0.0039,0.0138,-0.4614,-0.0094,-0.0094,-0.0073,-0.0073,0.0088,-0.008,-0.008,-0.0047,-0.0047,0.0036,-0.0022,-0.0022,0.0058,0.0058,0.0046,0.0046,0.0069,0.0026,0.0026,0.0026,-0.0033,-0.0033,0.0167,-0.0047,0.0,0.0,0.0081,0.0195,0.0213,0.0039,-0.0028,0.0167,0.0163,0.0108,0.0036,0.0253,0.0253
TCGA.A2.A1G0,0.4768,0.4584,-0.0204,-0.0204,0.4424,0.4654,-0.0216,-0.0216,0.957,0.957,0.9314,-0.0042,-0.0117,-0.0203,-0.0144,-0.0144,-0.013,-0.013,-0.026,-0.0076,0.0092,-0.494,0.5078,0.5078,0.4429,0.513,0.513,0.496,0.4768,0.4768,0.0,-0.0204,0.4424,0.4424,0.4602,0.4602,-0.0216,-0.0216,-0.0284,0.463,-0.5144,0.957,-0.0099,-0.0099,-0.0099,0.0116,-0.0117,-0.0033,-0.0203,-0.0144,-0.0144,0.4892,-0.013,-0.013,-0.013,-0.026,-0.0076,-0.0076,0.0092,-0.5494,-0.494,0.5078,-0.0036,-0.4682,0.513,0.496,-0.0077,0.531,0.4069
TCGA.A2.A1G1,0.0975,0.4069,-0.2265,0.129,-0.2321,0.1537,0.079,0.5001,0.4951,0.4951,3.0662,0.3953,-0.269,0.1301,0.1301,0.1301,2.0626,0.0051,0.1104,-0.2246,-0.2367,-0.2454,3.6569,-0.2446,0.2288,3.6569,-0.2612,0.2367,-0.2467,0.0975,-0.2188,-0.2265,-0.2368,-0.2302,-0.2332,-0.2332,0.079,0.5001,0.5001,-0.2331,-0.2182,0.4302,-0.2331,-0.2331,-0.2362,-0.2362,-0.269,-0.269,0.1301,0.1301,0.1301,0.1301,2.0039,0.0051,0.0051,0.1283,-0.2358,-0.2401,-0.241,-0.0193,-0.2454,-0.2498,-0.2354,0.4111,-0.2612,0.2201,0.111,0.1547,0.144
TCGA.A2.A1G4,-0.0097,-0.0102,-0.0181,-0.0181,-0.0237,-0.0145,-0.0153,-0.0153,3.6569,3.6569,0.6997,0.0084,0.0007,0.0013,2.1003,-0.7528,-0.0047,-0.0047,-0.0219,0.0017,0.0181,0.0137,0.0137,0.0137,0.0116,0.0116,0.0116,0.0144,0.0282,-0.0097,-0.0055,-0.0181,-0.0237,-0.0237,-0.0145,-0.0145,-0.0153,-0.0153,-0.0153,0.6871,0.6805,-0.7817,0.0032,0.0032,0.0032,0.0032,0.0,0.0079,0.0013,-0.777,-0.765,0.0135,-0.0047,-0.0047,-0.0047,-0.0219,0.0017,0.0017,0.7246,-0.7714,-0.754,0.0137,0.0034,0.0116,0.0116,0.0144,0.0078,0.0298,0.01
TCGA.A2.A1G6,0.0006,0.0006,-0.0004,-0.0007,-0.0003,-0.0014,0.0,0.0,-0.0011,-0.0011,-0.0011,0.0008,0.0047,0.0026,0.0026,0.0026,0.0,0.0,-0.0015,0.0081,0.004,-0.0008,-0.0008,-0.0008,0.0025,0.0025,0.0154,0.0019,0.0047,0.0047,0.0069,-0.0007,-0.0003,-0.001,-0.0014,-0.0014,0.0011,0.0,0.0,-0.0084,-0.0084,-0.0011,0.0026,0.0026,0.0026,0.0026,0.0047,0.0047,0.0026,0.0026,0.0026,0.0026,0.0,0.0,0.0,-0.0015,0.0081,0.0181,0.004,-0.0044,-0.0008,-0.0008,0.004,0.0025,0.0025,0.0019,0.0046,-0.012,-0.012
TCGA.A2.A259,0.0069,0.0276,-0.0097,-0.0097,-0.0178,0.0003,0.0,0.0,-0.4114,-0.4114,1.7092,-0.0083,-0.0097,-0.0021,0.0003,0.0003,-0.1649,0.0047,-0.0122,0.0039,0.0156,-0.2682,-0.2951,0.387,0.025,0.025,0.025,0.0078,0.0069,0.0069,-0.0018,-0.0097,-0.0178,-0.0178,0.0003,0.0003,0.0,0.0,0.0,-0.0061,-0.0061,-0.4114,-0.0129,-0.0129,-0.0129,-0.001,-0.0097,-0.0097,-0.0021,0.0003,0.0003,0.0003,-0.1649,0.0047,0.0047,-0.0122,0.0039,0.0039,0.0156,-0.4291,-0.3217,-0.2951,0.0075,0.025,0.025,0.0078,0.0081,-0.0023,0.0152
TCGA.A2.A25A,0.0535,0.3473,0.0,0.0,-0.0053,-0.0062,0.0085,-0.3404,-0.0033,-0.0033,-0.0033,0.0061,0.0061,0.0049,0.3769,-0.0007,-0.0044,-0.0044,-0.0047,0.0018,0.004,-0.2915,-0.2915,-0.2915,0.0224,0.0224,0.0243,0.0014,0.0535,0.0535,-0.0087,0.0,0.0086,-0.008,-0.0062,-0.0062,0.0085,-0.3404,-0.3518,0.0331,-0.0014,-0.0033,0.0068,0.0068,0.0068,0.0068,0.0061,0.0029,0.0049,0.0049,0.0026,0.0026,-0.0044,0.0024,0.0024,-0.0047,0.0018,0.0018,0.004,-0.342,-0.2915,-0.2915,-0.0271,0.0468,0.0224,0.0014,0.0198,-0.3363,-0.3363
TCGA.A2.A25B,0.8777,1.8291,-0.0645,0.6753,-0.4107,1.229,0.5301,-0.5474,-0.3319,-0.324,1.191,0.481,-0.108,-0.0865,-0.173,-0.173,-0.4694,0.5284,-0.1707,3.5906,3.6569,0.3445,-0.5037,3.6569,-0.0359,-0.0359,-0.0359,0.381,-0.1889,-0.0281,0.088,-0.0645,0.0,0.1453,0.079,-0.0861,0.5123,-0.5474,-0.6008,0.2467,0.7082,-0.0042,-0.4948,-0.4948,0.3649,0.3649,-0.108,-0.4841,-0.439,-0.173,-0.5343,-0.5343,-0.4694,0.5284,0.25,-0.0632,-0.1143,-0.134,-1.1841,0.0751,-0.5586,-0.5037,-0.5488,-0.0359,-0.0359,0.0668,-0.1628,-0.5721,-0.5721
TCGA.A2.A25C,0.572,0.572,0.0231,0.0069,-0.5906,0.011,0.5495,-0.5944,0.0088,0.0088,0.0088,0.004,0.004,-0.0018,-0.0018,0.0136,-0.6112,-0.0047,0.0289,0.5711,0.4922,-0.0344,-0.0344,-0.0344,-0.0645,-0.0645,-0.0645,-0.023,-0.6572,-0.6061,0.0081,0.0231,-0.5906,-0.5797,0.0217,0.0212,0.5495,-0.5944,-0.6401,0.0093,-0.653,0.0088,0.0,0.0,0.0,0.0,0.004,0.004,-0.0028,-0.0018,-0.6138,-0.6138,-0.6112,-0.0047,-0.0076,-0.0058,0.5711,0.5711,0.4922,-0.0054,-0.0386,-0.0344,-0.6436,-0.0645,-0.0645,-0.0281,-0.0003,-0.0331,-0.6666
TCGA.A2.A25D,-0.0131,1.4267,-0.0374,0.4732,-0.0115,-0.5404,0.5548,-0.0022,1.0069,0.5133,1.3757,0.0026,0.0076,0.0019,-0.0095,0.0,-0.0214,-0.0214,-0.5172,0.0408,0.004,-0.5295,-0.0022,0.5208,0.0031,0.0031,0.5133,0.0135,-0.5525,0.0156,-0.0076,-0.0419,-0.0496,-0.0091,-0.0102,-0.0046,0.5548,-0.524,-0.5421,0.0125,-0.0053,-0.5392,0.5289,0.5105,0.0092,0.0458,0.0076,0.0212,0.0019,-0.0095,0.0012,0.0012,-0.0214,-0.0214,-0.0248,0.0255,-0.0083,0.0088,0.004,-0.5596,-0.5295,-0.034,-0.4511,-0.53,0.0031,-0.0001,0.0159,-0.0053,0.0195
TCGA.A2.A25E,-0.004,0.6021,0.629,0.015,0.0222,0.0234,0.0037,-0.6458,-0.0057,-0.0057,1.1681,-0.01,1.0538,-0.0039,-0.0039,-0.0039,-0.0001,1.9556,-0.6704,0.0581,-0.6329,-0.0556,0.6132,0.6132,-0.0607,-0.0607,-0.0607,1.1351,-0.0297,-0.5434,-0.0117,-0.6157,0.5447,-0.0346,-0.615,0.017,-0.3566,-0.6458,-0.6674,0.0195,0.0032,-0.6674,-0.6308,-0.6278,-0.0175,-0.0175,1.0538,-0.0129,-0.6653,-0.0039,-0.6488,-0.6718,-0.0001,0.5509,0.5509,-0.6516,-0.6595,-0.6595,-0.0215,-0.7102,-0.0556,0.6132,1.4975,-0.6394,-0.0607,0.0056,-0.0157,-0.0502,-0.0502
TCGA.A2.A25F,0.1233,0.0001,0.0011,0.0136,-0.0353,-0.03,-0.0039,0.0057,0.0743,0.0743,0.0743,-0.0286,-0.0286,-0.0215,0.0093,0.0093,0.0028,0.0028,-0.0613,-0.0324,-0.0356,-0.0262,-0.0262,-0.0262,0.0488,0.0488,0.0488,-0.0197,0.0291,0.0291,0.0006,0.0011,-0.0353,-0.0367,-0.03,-0.03,-0.0039,-0.0039,0.0062,-0.0244,0.043,0.0743,-0.0166,-0.0166,-0.0166,-0.0166,-0.0286,-0.0286,-0.0215,-0.0215,0.0093,0.0093,0.0028,0.0028,0.0028,-0.0613,-0.0324,-0.0324,-0.0356,-0.0376,-0.0262,-0.0262,-0.0456,0.0488,0.0488,0.0,-0.0001,-0.0353,-0.0353
TCGA.A2.A3KC,0.8461,0.4135,0.0018,-0.0019,0.0075,0.0,-0.0011,-0.0011,0.0029,0.0029,0.0029,0.0012,0.0012,0.0132,3.6569,2.7601,0.0008,0.0008,0.0029,0.0044,0.0007,-0.0069,-0.0069,-0.0069,-0.0051,-0.0051,-0.0051,0.4318,-0.4624,-0.4624,-0.0006,-0.019,0.0044,0.0075,0.0,0.0,-0.0011,-0.0011,0.0,-0.0019,-0.003,0.0029,-0.0033,-0.0033,-0.0033,-0.0033,0.0012,0.0012,0.0132,-0.0289,-0.4578,-0.4578,0.0008,0.0008,0.0018,0.0029,0.0044,0.0044,0.0007,-0.4652,-0.0069,-0.0069,0.0067,-0.0051,-0.0051,0.4318,-0.0033,0.0029,0.0029
TCGA.A2.A3KD,0.8811,0.8811,0.0024,0.0024,0.0091,0.0065,0.0,-0.4874,0.0073,0.0073,0.4569,-0.0007,-0.0007,0.446,0.446,0.446,-0.0063,-0.0063,0.006,0.4615,-0.003,-0.0156,-0.0156,-0.0156,-0.0088,-0.0088,-0.0088,-0.0065,-0.0041,-0.0041,-0.0005,0.0024,0.0091,0.0037,-0.0025,-0.0025,0.0102,-0.4874,-0.4884,-0.0038,0.0009,0.0073,0.0031,0.0031,0.0031,0.0031,-0.0007,0.0183,0.446,0.446,-0.48,-0.48,-0.0063,-0.0063,-0.0063,-0.0029,0.4404,0.4611,-0.003,-0.4958,-0.503,-0.0156,0.0057,-0.0497,-0.0088,0.0003,0.4957,-0.0206,-0.0132
